label,ece,note
Atelectasis,0.1299827412639704,
Cardiomegaly,0.039216674101307775,
Effusion,0.12215970355772698,
Infiltration,0.2301261973097539,
Mass,0.05979952832596363,
Nodule,0.0861098039525287,
Pneumonia,0.024622221438973184,
Pneumothorax,0.04965697950553952,
Consolidation,0.0710766295819418,
Edema,0.030894701712082917,
Emphysema,0.025189920312927792,
Fibrosis,0.027041882104209655,
Pleural_Thickening,0.05351465712999586,
Hernia,0.001190739764238032,
